"ID","Title","Created By","Created On","Estimate","Expected Result","Priority","Section","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Type"
"C1","Выбор полиса, минимальная сумма (Квартира)","Ирина Курбанова","9/8/2022 4:02 PM","","","Medium","Функциональное тестирование","Рамка вокруг Поля "Квартира" стала зеленой ","Нажать в разделе "Что будет застраховано" кнопку "Квартира"","Master","S1","Functional"
"","","","","","","","","В поле "Регион проживания" откроется выпадающий список, данные можно найти с помощью скролла, или начав вводить текст в поле. Во время внесения данных рамка вокруг поля- зеленая.","Выбрать в разделе "Где находится недвижимость" - Алтай Респ., используя при этом выпадающий список поля "Регион проживания"","","",""
"","","","","","","","","В поле есть иконка  календаря, при нажатии открывается календарь (текущая дата+14 дней). Так же дату можно ввести вручную. Во время внесения данных рамка вокруг поля- зеленая.","ВВести дату "22.09.2022" с разделе "Срок действия страхования", используя поле  "Дата начала"","","",""
"","","","","","","","","После нажатия рамка каждого поля зеленая.","Нажать кнопки в разделе "особенности объекта":  "Расположена на первом или последнем этаже" &mdash; Да, "Сдаётся в аренду" &mdash; Нет, "Установлена охранная сигнализация" &mdash; Да","","",""
"","","","","","","","","Сумму получается выбрать с помощью скролла. Вручную ввести сумму не получается. При изменении "суммы страхования" меняется сумма стоимости объектов страхования. ","Выбрать в разделе "Страховая сумма и объекты страхования" 900 000 рублей ","","",""
"","","","","","","","","Переход на другую вкладку 2 "Оформление"","Нажать кнопку "Оформить"","","",""
"C2","Выбор полиса, максимальная сумма (Дом, материал несущих стен: Монолит или кирпич)","Ирина Курбанова","9/8/2022 4:16 PM","","","Medium","Функциональное тестирование","Рамка вокруг Поля "Дом" стала зеленой","Нажать в разделе "Что будет застраховано" кнопку "Дом"","Master","S1","Functional"
"","","","","","","","","В поле "Регион проживания" откроется выпадающий список, данные можно найти с помощью скролла, или начав вводить текст в поле. Во время внесения данных рамка вокруг поля- зеленая.","Выбрать в разделе "Где находится недвижимость" - Московская обл., используя при этом выпадающий список поля "Регион проживания"","","",""
"","","","","","","","","	
В поле есть иконка  календаря, при нажатии открывается календарь (текущая дата+14 дней). Так же дату можно ввести вручную. Во время внесения данных рамка вокруг поля- зеленая.","ВВести дату "22.09.2022" с разделе "Срок действия страхования", используя поле  "Дата начала"","","",""
"","","","","","","","","	
После нажатия рамка каждого поля зеленая.","Нажать кнопки в разделе "особенности объекта": Сдаётся в аренду &mdash; Да, Установлена охранная сигнализация &mdash; Да, Материал несущих стен &mdash; Монолит или кирпич","","",""
"","","","","","","","","Сумму получается выбрать с помощью скролла. Вручную ввести сумму не получается. Сумма округляется до максимально возможного предела: 2 900 000 рублей. При изменении "суммы страхования" меняется сумма стоимости объектов страхования.","Выбрать в разделе "Страховая сумма и объекты страхования" 3 900 000 рублей","","",""
"","","","","","","","","Переход на другую вкладку 2 "Оформление"","Нажать кнопку "Оформить"","","",""
"C3","Оформление Квартира","Ирина Курбанова","9/8/2022 4:38 PM","","","Medium","Функциональное тестирование","После введения рамка каждого поля зеленая.","ВВести данные  в полях "Фамилия" -Курбанова, "Имя"- Ирина, "Отчество"- Игоревна","Master","S1","Functional"
"","","","","","","","","В поле есть иконка  календаря, при нажатии открывается календарь.. Так же дату можно ввести вручную. Во время внесения данных рамка вокруг поля- зеленая.","ВВести дату рождения 21.01.1993","","",""
"","","","","","","","","Рамка вокруг Поля "Пол" стала зеленой","Выбрать пол "женский"","","",""
"","","","","","","","","После введения рамка каждого поля зеленая.","Ввести данные  в полях "Серия"-5014, "Номер" 356978, "Кем выдан"- Отделом УФМС России по НСО, "Код подразделения"-540-007","","",""
"","","","","","","","","В поле есть иконка  календаря, при нажатии открывается календарь.. Так же дату можно ввести вручную. Во время внесения данных рамка вокруг поля- зеленая.","Заполнить поле  "Дата выдачи"-12.02.2014","","",""
"","","","","","","","","После введения рамка каждого поля зеленая.","ВВести данные  в полях "Город"- Новосибирск, "Улица"- Есенина, "Дом"-51, "Квартира"- 55","","",""
"","","","","","","","","После введения рамка каждого поля зеленая.","Ввести данные  в полях "Телефон"-+79231520566, "Электронная почта" Tasya_06_08@mail.ru, "Повтор электронной почты" Tasya_06_08@mail.ru","","",""
"","","","","","","","","Переход на другую вкладку 3 "Подтверждение"","Нажать кнопку "Оформить"","","",""
"C4","Оформление Дом","Ирина Курбанова","9/8/2022 5:04 PM","","","Medium","Функциональное тестирование","После введения рамка каждого поля зеленая.","ВВести в полях "Фамилия" -Курбанова, "Имя"- Ирина, "Отчество"- Игоревна","Master","S1","Functional"
"","","","","","","","","	
В поле есть иконка  календаря, при нажатии открывается календарь.. Так же дату можно ввести вручную. Во время внесения данных рамка вокруг поля- зеленая","ВВести дату рождения 21.01.1993","","",""
"","","","","","","","","	
Рамка вокруг Поля "Пол" стала зеленой","Выбрать пол "женский"","","",""
"","","","","","","","","После введения рамка каждого поля зеленая.","Ввести в полях "Серия"-5014, "Номер" 356978, "Кем выдан"- Отделом УФМС России по НСО, "Код подразделения"-540-007","","",""
"","","","","","","","","В поле есть иконка  календаря, при нажатии открывается календарь.. Так же дату можно ввести вручную. Во время внесения данных рамка вокруг поля- зеленая.","Ввести "Дата выдачи"-12.02.2014","","",""
"","","","","","","","","После введения рамка каждого поля зеленая.",""Город"- Адыгейск, "Улица"- 8 марта, "Дом"-21","","",""
"","","","","","","","","	
После введения рамка каждого поля зеленая","Ввести в полях "Телефон"-+79231520566, "Электронная почта" Tasya_06_08@mail.ru, "Повтор электронной почты" Tasya_06_08@mail.ru","","",""
"","","","","","","","","	
Переход на другую вкладку 3 "Подтверждение"","	
Нажать кнопку "Оформить"","","",""
"C5","Подтверждение Квартира","Ирина Курбанова","9/8/2022 5:25 PM","","","Medium","Функциональное тестирование","Каждый раздел заполнен корректно, все данные совпадают.","Проверить все раннее введенные данные (из предусловий) на вкладке 3 "Подтверждение"","Master","S1","Functional"
"","","","","","","","","После установки значения true в чек-боксе "Данные проверены и не содержат ошибок", открывается панель с дополнительными условиями: обработка персональных данных, и информационное сопровождение от  Сбербанка","Установить значение true в чек-боксе "Данные проверены и не содержат ошибок"","","",""
"","","","","","","","","Значение true установлено ","Установить значение true в чек-боксе "Выражаю своё согласие ООО  СК "СберБанк Страхование", ПАО СберБанк и АО "Интеркомп" на обработку моих персональных данных "","","",""
"","","","","","","","","Значение true установлено ","Установить значение true в чек-боксе "Выражаю своё согласие ООО  СК "СберБанк Страхование" и ПАО СберБанк на информационное сопровождение по страховым и сопутствующим услугам "","","",""
"","","","","","","","","После установки значений true из шага 3 и 4, и после введения данных в поле "Код" кнопка "Перейти к оплате" стала активной ","В поле "Код" указать 0697","","",""
"C6","Подтверждение Дом","Ирина Курбанова","9/8/2022 5:30 PM","","","Medium","Функциональное тестирование","	
Каждый раздел заполнен корректно, все данные совпадают.","Проверить все раннее введенные данные (из предусловий) на вкладке 3 "Подтверждение"","Master","S1","Functional"
"","","","","","","","","	
После установки значения true в чек-боксе "Данные проверены и не содержат ошибок", открывается панель с дополнительными условиями: обработка персональных данных, и информационное сопровождение от  Сбербанка","
Установить значение true в чек-боксе "Данные проверены и не содержат ошибок"","","",""
"","","","","","","","","	
Значение true установлено","Установить значение true в чек-боксе "Выражаю своё согласие ООО  СК "СберБанк Страхование", ПАО СберБанк и АО "Интеркомп" на обработку моих персональных данных "","","",""
"","","","","","","","","	
Значение true установлено","Установить значение true в чек-боксе "Выражаю своё согласие ООО  СК "СберБанк Страхование" и ПАО СберБанк на информационное сопровождение по страховым и сопутствующим услугам "","","",""
"","","","","","","","","	
После установки значений true из шага 3 и 4, и после введения данных в поле "Код" кнопка "Перейти к оплате" стала активной","В поле "Код" указать 1258","","",""
"C9","Тестирование кнопки ""Вернуться"" из вкладки ""Оформление""","Ирина Курбанова","9/9/2022 7:49 AM","","","Medium","Функциональное тестирование","Происходит переход на предыдущую вкладку 1 "Выбор полиса". Все данные в первой вкладке сохранены.","Нажать на кнопку "Вернуться" внизу страницы ","Master","S1","Functional"
"C10","Тестирование  кнопки ""Вернуться"" из вкладки ""Подтверждение""","Ирина Курбанова","9/9/2022 7:52 AM","","","Medium","Функциональное тестирование","Происходит переход на предыдущую вкладку 2 "Оформление". Все данные в указанной вкладке сохранены.","Пролистать страницу вниз, нажать кнопку "Вернуться"","Master","S1","Functional"
"C13","Корректность работы кнопки ""Применить"" в разделе ""Промокод""","Ирина Курбанова","9/9/2022 8:32 AM","","","Medium","Функциональное тестирование","Во время ввода, рамка вокруг поля зеленая ","В текстовом поле "Промокод" ввести  текс "Лето 2022"","Master","S1","Functional"
"","","","","","","","","Появляется сообщение "Промокод Лето 2022 не найден"","Нажать кнопку "Применить"","","",""
"C7","Увеличение масштаба вкладки ""Выбор полиса""","Ирина Курбанова","9/9/2022 7:35 AM","","","Medium","UI-тестирование","Страница увеличилась, в разделе "Страховая защита включенная в программу" найдено наложение символа на текст (см. скриншот экрана )

![](index.php?/attachments/get/3893bc01-b10d-419b-a4f5-88307ed8a790)&nbsp;&nbsp; 
","Увеличить масштаб страницы до 500%","Master","S1","Other"
"C19","Уменьшение масштаба вкладки ""Оформление полиса""","Ирина Курбанова","9/9/2022 9:01 AM","","","Medium","UI-тестирование","Наложение текста и символов друг на друга отсутствует, тест нечитаем (скриншот приложен)
![](index.php?/attachments/get/40e3f2cc-6d17-46c2-9318-6947980e0f4f) 
","Уменьшить масштаб страницы до 25%","Master","S1","Other"
"C8","Тестирование поля ""Дата рождения""","Ирина Курбанова","9/9/2022 7:41 AM","","","Medium","Положительное и отрицательное тестирование","После введения система реагирует на некорректно введенные данные, рамка вокруг поля красная, и появляется надпись "Дата рождения должна быть не раньше 10.09.1902"","ВВести дату рождения 04.05.1789 вручную (не через календарь)","Master","S1","Functional"
"","","","","","","","","После введения система реагирует на некорректно введенные данные, рамка вокруг поля красная, и появляется надпись "Дата рождения должна быть не позже 09.09.2004"","Ввести дату рождения 21.01.2856 вручную (не через календарь)","","",""
"","","","","","","","","Во время внесения данных рамка вокруг поля- зеленая","Ввести дату рождения 21.01.1993 (вручну., не через календарь)","","",""
